#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.461255,12,30,0,10434
1.987577,13,30,0,11091
6.083629,13,15,0,10614
8.948663,14,15,0,11088
3.342011,15,15,0,11671
8.603514,16,15,0,12382
3.276408,17,15,0,13016
5.113126,17,15,0,13019
3.357518,17,16,0,13016
4.324132,16,18,0,13303
7.187698,15,8,0,12324
3.145896,15,9,0,12347
3.487034,14,11,0,11981
7.899949,15,11,0,12757
4.608159,13,13,0,11499
8.500278,11,16,0,10615
4.168588,7,21,0,8262
3.446747,4,22,0,5850
2.041299,5,22,0,6339
1.155139,5,19,0,5765
1.363291,5,10,0,5269
1.090580,6,10,0,5845
1.085527,7,10,0,6333
1.174146,7,7,0,6075
1.492752,8,7,0,6554
1.272967,9,7,0,7296
1.420357,10,7,0,7786
1.627187,10,4,0,7789
1.925141,9,4,0,7140
1.794535,10,4,0,7519
1.513293,11,4,0,7802
1.707984,11,5,0,7543
1.819682,11,6,0,7705
1.845943,12,6,0,8112
1.856876,12,7,0,8188
19.259609,13,7,0,8812
1.211271,12,9,0,8437
17.583521,12,10,0,8534
2.147007,13,10,0,9188
2.386277,14,10,0,9774
2.630340,13,12,0,9344
4.399508,13,13,0,9613
1.535673,13,14,0,9858
3.561649,13,15,0,10207
2.304165,13,16,0,10494
4.813692,13,17,0,10919
3.007146,14,17,0,11591
1.860615,13,19,0,11278
4.148569,14,19,0,11886
3.561042,15,19,0,12551
2.515502,15,20,0,12690
4.657275,16,20,0,13307
5.612287,17,20,0,13851
5.377192,17,21,0,14006
3.057061,18,21,0,14723
5.361065,17,23,0,14370
7.396481,18,23,0,15010
3.753869,17,21,0,14339
7.817490,18,21,0,14937
3.558058,19,21,0,15676
5.497494,18,23,0,15040
5.025101,17,25,0,14363
4.892703,17,26,0,14168
7.326858,16,28,0,13639
5.957405,18,27,0,14906
5.583360,17,21,0,14517
21.733155,17,22,0,15098
4.202606,20,28,0,16360
4.145627,18,23,0,16022
4.181253,17,25,0,14677
3.955996,17,26,0,14537
6.885914,19,25,0,16021
5.181246,19,26,0,15877
21.847805,19,27,0,15815
3.083801,19,27,0,15486
7.447876,18,29,0,14519
4.802967,18,30,0,14597
8.673297,16,33,0,13848
5.763763,17,33,0,14584
5.919539,16,33,0,13692
4.072734,17,33,0,14417
7.243920,17,34,0,14317
3.449701,17,35,0,14408
5.434683,18,35,0,15056
23.332379,19,35,0,15641
23.744267,20,35,0,16173
5.107537,21,35,0,16637
6.672759,20,37,0,15944
22.623328,22,36,0,17518
5.361150,20,39,0,15936
9.533676,21,39,0,16472
24.492169,17,32,0,13830
3.938293,18,32,0,14289
6.209408,17,34,0,13658
2.817100,18,34,0,14282
8.114867,20,33,0,15632
29.183313,19,35,0,14813
5.241380,16,36,0,12603
8.130641,20,33,0,15524
6.223938,21,33,0,16199
20.704610,15,40,0,12272
4.077511,16,40,0,12894
3.180696,17,40,0,13548
5.635916,18,40,0,14183
4.094983,19,40,0,14662
31.127363,19,41,0,14713
28.729357,20,41,0,15294
5.587673,21,41,0,15968
7.904119,20,43,0,15849
24.955056,21,43,0,16605
5.622538,20,45,0,16501
4.167756,21,45,0,17437
7.103981,23,44,0,18516
6.470490,23,45,0,18487
8.979100,23,46,0,18645
10.959617,22,48,0,17418
7.229808,23,48,0,17802
9.106168,22,50,0,17102
14.308986,22,51,0,16757
5.933435,24,50,0,17642
8.757329,22,48,0,15736
9.763295,24,52,0,16125
31.602227,27,50,0,18167
7.252259,24,49,0,16766
10.496159,25,49,0,17702
4.017853,29,46,0,20060
6.658785,28,48,0,18574
12.594280,25,28,0,16156
11.669743,23,30,0,15604
6.399533,17,35,0,11727
10.236838,10,43,0,9241
7.704942,10,44,0,9860
2.918738,10,45,0,10229
2.734247,9,47,0,10198
2.965028,10,47,0,10818
4.000935,10,48,0,10937
3.147659,11,48,0,11431
5.104716,11,49,0,11234
4.111361,10,21,0,9768
3.647217,11,21,0,10684
5.691609,11,17,0,10602
3.603825,12,17,0,11236
3.168465,13,17,0,11930
5.903009,13,10,0,11859
6.370743,14,10,0,12483
9.409493,14,10,0,12525
4.855364,14,10,0,12537
7.283021,15,10,0,13177
5.750683,16,10,0,13776
9.203891,16,9,0,13694
7.226665,17,9,0,14282
6.699348,17,10,0,14127
6.949506,19,9,0,15718
4.985730,17,11,0,14113
30.409890,18,11,0,14512
33.512590,20,11,0,15643
3.549259,20,11,0,15257
25.852404,21,11,0,15398
6.525393,21,11,0,15311
5.470186,22,11,0,15904
5.648660,17,14,0,13079
5.946483,8,21,0,7036
9.122122,8,22,0,7305
2.805347,8,23,0,7441
1.648003,9,23,0,8049
2.088338,32,93,0,26104
1.760352,30,66,0,21797
6.641117,41,78,0,28162
11.428351,40,45,0,26217
8.359622,39,40,0,25858
12.112370,45,49,0,28920
35.535412,46,54,0,29859
10.780534,48,36,0,29280
30.472590,42,62,0,27698
30.208274,38,57,0,24954
6.996889,41,58,0,28057
9.009569,45,65,0,31834
9.692251,51,57,0,33956
7.573312,48,60,0,32599
8.610644,48,61,0,32440
12.347765,46,63,0,32547
8.009074,48,64,0,34623
7.356386,39,68,0,30298
18.653379,43,61,0,31126
7.057853,51,51,0,36772
16.610311,51,58,0,37041
35.452154,53,54,0,39810
10.030705,55,39,0,40572
9.386473,56,31,0,40316
13.556056,54,36,0,39875
9.904525,43,45,0,33480
9.526961,42,57,0,32415
7.502896,34,68,0,27970
40.826432,32,71,0,25479
7.780813,31,71,0,24419
6.479704,31,72,0,25031
5.468353,33,73,0,26170
12.875809,32,75,0,26103
14.775122,30,76,0,23751
34.151001,30,73,0,23864
10.643294,31,73,0,24676
9.478350,32,73,0,25503
11.369535,33,73,0,26282
6.199524,35,76,0,29504
30.092619,34,69,0,27494
12.932257,34,70,0,27755
16.702865,35,70,0,28564
13.191583,32,57,0,26614
7.440633,28,55,0,24710
7.891072,31,53,0,27015
29.521731,31,54,0,26275
13.850748,26,60,0,25175
8.379225,24,63,0,24989
42.542230,25,63,0,23736
15.845497,17,67,0,19088
9.568167,17,67,0,18734
5.095592,14,68,0,13754
7.439548,14,69,0,13956
5.163044,14,69,0,12191
7.674682,13,71,0,10339
38.108048,12,72,0,9211
6.818500,12,73,0,8802
2.487533,13,73,0,9366
8.062417,12,69,0,8835
2.830426,10,72,0,8126
7.111614,11,72,0,8727
2.234606,10,68,0,8537
2.923603,10,69,0,8708
5.954149,11,69,0,9268
3.196365,10,66,0,8770
8.073642,11,66,0,9187
3.409092,11,67,0,9541
6.890378,13,66,0,9925
3.864542,13,67,0,10230
7.971252,13,65,0,9554
3.829280,13,52,0,9423
9.194589,14,52,0,9926
7.619937,13,22,0,9058
6.295378,13,23,0,8836
3.408952,13,19,0,8986
4.711987,13,20,0,9021
2.646000,12,22,0,9305
3.352623,12,23,0,8692
9.097650,12,24,0,9022
5.419938,13,24,0,9675
3.338118,12,26,0,9657
2.758416,12,26,0,9988
4.772795,13,26,0,10451
2.854040,11,29,0,9540
5.691153,11,30,0,9362
6.331673,11,31,0,9343
7.322988,12,31,0,9938
8.405309,12,32,0,9931
7.804142,13,32,0,10388
3.852221,13,32,0,10221
6.943519,13,33,0,9904
5.280010,14,33,0,10444
8.452824,13,35,0,9726
6.842415,13,36,0,9904
6.592664,12,27,0,9527
5.541314,11,29,0,9098
4.220843,12,29,0,9649
4.151226,12,20,0,9545
3.615990,13,20,0,10260
4.889299,13,21,0,10278
4.173527,14,21,0,10806
3.980636,14,22,0,10822
3.612158,15,22,0,11466
4.707854,16,22,0,12064
8.457577,15,22,0,11939
5.237005,16,22,0,12488
5.009380,13,25,0,11031
4.953269,14,25,0,11602
3.561830,15,25,0,12091
8.611075,14,26,0,11525
5.167482,14,27,0,11708
8.821145,12,28,0,10589
4.787659,12,29,0,10718
8.471599,14,28,0,11730
5.153182,15,28,0,12386
8.656256,12,28,0,10938
6.455119,13,28,0,11392
10.358414,14,28,0,11781
4.964705,15,28,0,12063
5.447114,15,29,0,11588
3.985888,16,29,0,12041
41.691538,16,27,0,11699
10.100171,13,21,0,9469
4.529191,14,21,0,9967
2.721468,15,21,0,10721
2.532706,16,21,0,10940
8.848692,15,22,0,10214
8.928880,17,21,0,11243
4.801530,17,22,0,11670
4.001091,17,23,0,11479
8.876996,15,25,0,10189
6.549618,15,26,0,9701
3.191859,16,26,0,10210
2.610421,15,28,0,10193
7.322832,18,26,0,11476
2.598274,17,28,0,11840
6.665400,17,29,0,12608
10.930150,17,29,0,12433
2.775921,16,29,0,12256
9.203733,15,31,0,12312
6.723373,14,31,0,11447
6.577018,8,29,0,9068
7.998454,7,28,0,8041
3.428854,6,29,0,6729
2.837560,7,29,0,7293
2.824704,7,30,0,7160
3.695958,8,30,0,7699
3.209291,9,30,0,8360
4.908848,10,30,0,8860
2.384018,10,18,0,8596
8.275068,11,18,0,9280
5.117875,11,16,0,9170
6.451182,12,16,0,9864
4.473979,12,11,0,9921
7.058198,13,11,0,10554
4.069771,13,5,0,10527
7.537176,14,5,0,11049
7.861299,13,6,0,10297
8.038539,13,7,0,10783
3.977483,14,7,0,11274
5.281340,15,7,0,11784
43.302536,14,9,0,11075
4.656587,14,10,0,10823
10.039131,15,10,0,11287
5.172339,16,10,0,11783
8.328903,16,11,0,11492
3.225523,16,12,0,11181
9.152992,16,11,0,11056
6.679632,15,13,0,10559
4.116451,19,12,0,13072
2.549928,17,13,0,11864
5.807814,16,15,0,11657
8.324979,18,14,0,12633
3.909015,16,16,0,11786
8.281500,17,16,0,12532
3.369821,18,16,0,13270
8.069061,19,16,0,13962
3.314206,20,16,0,14692
32.901126,19,18,0,14432
45.297321,20,18,0,15011
6.377246,21,18,0,15588
4.032121,21,19,0,15806
5.372771,22,19,0,16323
42.154945,22,20,0,16507
5.489693,22,21,0,16638
39.777970,23,21,0,17046
6.915504,24,21,0,17511
7.732120,23,23,0,17085
6.495183,23,24,0,17047
7.956143,21,27,0,16180
8.965620,22,27,0,16863
8.025729,20,30,0,14424
4.297411,20,31,0,15517
6.291650,21,31,0,14626
3.995815,21,32,0,14307
3.963875,17,35,0,11490
8.533377,19,34,0,13553
5.011802,19,35,0,12477
5.674443,18,37,0,11845
5.310900,16,34,0,11065
7.985637,14,37,0,9827
8.065310,12,40,0,8852
3.865777,12,41,0,8848
3.605989,11,43,0,8716
3.119380,10,35,0,8578
4.697349,10,36,0,8769
5.143108,10,35,0,8995
4.537554,10,36,0,9225
4.068704,11,36,0,9927
47.655706,9,25,0,8820
5.449777,10,25,0,9517
4.106215,11,25,0,10255
4.848342,12,25,0,11030
9.396007,13,25,0,11648
5.238145,14,25,0,12337
6.969813,15,25,0,12860
4.457217,16,25,0,13360
8.864734,17,25,0,13816
8.124091,17,22,0,13682
4.556320,18,22,0,14053
44.130016,19,22,0,14715
47.426360,20,22,0,15282
7.835962,21,22,0,15819
7.599191,22,22,0,16220
47.701549,23,22,0,16705
55.508059,24,22,0,17219
10.436123,25,22,0,17813
9.753238,26,22,0,18348
7.803804,26,15,0,18140
7.984895,25,17,0,17889
6.498926,25,17,0,17005
6.013084,26,17,0,17384
6.128411,24,15,0,16800
6.625520,16,19,0,11140
5.578404,17,19,0,11432
7.175860,15,22,0,10172
8.020143,13,24,0,8888
9.078480,7,31,0,5574
4.363216,8,31,0,5998
2.464632,6,34,0,4944
2.601359,6,32,0,5083
2.046542,6,33,0,5025
8.142276,7,33,0,5873
2.190461,7,22,0,6061
5.481766,7,12,0,6096
3.302828,8,12,0,6669
2.113591,9,12,0,7242
3.313469,10,12,0,7929
3.182177,11,12,0,8605
4.478538,11,10,0,8802
4.704855,12,10,0,9503
4.988987,13,10,0,10244
3.386087,14,10,0,10808
6.334150,15,10,0,11340
7.575613,16,10,0,11873
8.483259,17,10,0,12421
54.007355,18,10,0,13030
8.979948,19,10,0,13634
58.005738,18,12,0,13978
12.058332,17,7,0,12911
14.351624,16,9,0,12200
49.464027,17,9,0,12795
48.802743,18,9,0,13370
6.377486,18,10,0,13425
5.611225,16,13,0,11906
11.543904,16,14,0,11858
5.642108,15,16,0,11409
5.016445,14,18,0,11042
6.170376,15,18,0,11882
6.356429,14,20,0,11680
9.789588,15,20,0,12363
10.007246,15,20,0,12504
5.520927,16,20,0,13098
10.553931,17,20,0,13617
8.078441,17,21,0,13581
6.304066,17,22,0,13588
43.737333,18,22,0,14102
12.162324,19,22,0,14550
6.031097,20,22,0,14933
5.502982,20,23,0,14943
13.205125,17,27,0,13277
9.705811,23,22,0,16754
6.074429,20,26,0,15046
6.414231,20,27,0,15044
7.052025,21,27,0,15589
5.677157,19,30,0,14954
10.330866,15,34,0,11586
40.251112,16,34,0,12113
10.594396,13,38,0,10744
8.566373,13,38,0,10717
6.034945,14,38,0,11176
5.035870,16,38,0,12124
53.195796,13,30,0,10546
4.664878,13,31,0,10633
5.801338,11,29,0,9207
53.513199,15,31,0,11751
4.203709,13,29,0,10495
9.935163,13,30,0,10464
5.188889,13,31,0,11015
4.526723,14,31,0,11585
8.821500,13,32,0,10063
4.973247,13,31,0,9996
53.837137,12,33,0,9726
52.441755,11,35,0,9299
51.664284,12,35,0,9799
53.608898,9,38,0,7713
6.215936,6,33,0,5393
4.353774,5,35,0,4574
2.797134,6,35,0,4780
2.070430,7,35,0,5109
5.124674,8,35,0,5544
3.430398,9,35,0,5949
2.962779,9,33,0,5859
4.416795,10,33,0,6309
3.270940,10,34,0,6466
52.492258,11,34,0,7225
5.008398,11,35,0,7495
4.843644,12,35,0,8264
3.760595,13,35,0,8837
4.747175,14,35,0,9540
6.244636,14,36,0,9866
51.866336,15,36,0,10605
4.198191,16,36,0,11418
9.847010,17,36,0,12182
3.455306,18,36,0,12545
