#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
2.109770,7,16,0,7259
1.359395,7,17,0,7120
1.602501,8,17,0,7553
1.455735,9,17,0,8096
1.252676,10,17,0,8578
1.356169,11,17,0,8880
2.187956,12,17,0,9152
2.574340,13,17,0,9423
2.531137,14,17,0,9855
2.177066,15,17,0,10402
4.388807,14,16,0,9574
2.361897,12,18,0,8477
1.838845,15,16,0,9837
1.315303,16,16,0,10214
2.309159,15,18,0,9694
5.217208,17,17,0,10781
1.845179,17,18,0,10964
3.043562,16,19,0,11318
22.789782,16,20,0,10878
3.655572,16,21,0,11243
17.752880,16,22,0,11829
3.162272,17,21,0,12299
5.319145,17,22,0,12148
2.955845,18,22,0,12662
4.491129,17,24,0,12220
4.064428,15,27,0,11632
5.659091,15,28,0,12032
5.516620,15,29,0,12501
4.833857,14,31,0,12079
3.113699,14,31,0,11826
3.395647,15,31,0,12391
2.245406,15,32,0,12429
3.884266,13,33,0,11256
4.798489,17,32,0,13352
5.671842,15,33,0,12148
3.912811,16,33,0,12632
3.885824,16,34,0,12563
5.591539,16,35,0,12484
4.107429,16,36,0,12423
3.451649,17,36,0,12863
5.278750,17,36,0,12701
5.448931,16,27,0,11922
4.269472,17,27,0,12566
8.002018,17,28,0,13115
2.982571,16,29,0,12111
5.854120,18,29,0,14574
5.502678,18,29,0,13724
19.173470,19,29,0,14240
7.775015,19,30,0,14310
3.310482,19,31,0,14507
2.960303,19,32,0,14558
3.069359,21,31,0,15487
4.155684,20,33,0,15861
6.471981,22,32,0,16635
7.509094,23,32,0,17309
16.983966,22,28,0,16742
7.641893,21,30,0,16570
5.710191,0,2084448272,0,521718267
9.517937,0,31968,0,1078851430
